# Data from Emanuel Giovanini, 2026
title;comments;db;sysUnit;oxide;frac;frac2
E-11-10 - La Higuera Norite 1;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[44.86667483423507, 20.685461508018353, 10.053681352837392, 4.314401800040591, 11.798158894547491, 0.1794434201905372, 2.1397415402179725, 1.3327311315772867, 2.0, 0.0011624795402777298, 4.0];
E-11-12 - La Higuera Norite 2;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[44.70319357725732, 19.78458761913672, 9.523356116017064, 6.119796524124891, 12.237845090481647, 0.09527244787358843, 1.750874271636049, 1.4271423824329372, 2.0, 0.0060671506517985824, 4.0];
E-11-14 - La Higuera Amph gabbronorite 1;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[45.88337619587607, 16.077863352042133, 10.292349248781695, 11.472295993281358, 10.83751697470056, 0.10744387911358684, 0.6136884626848113, 0.4791416230741034, 2.0, 0.005984318833284041, 4.0];
E-11-16 - La Higuera Amph gabbronorite 2;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[43.86046058751842, 14.633510325257664, 9.250395727547168, 15.48476174403141, 11.511325359769517, 0.20035194127281244, 0.5502348435931385, 0.22771708447105024, 2.0, 0.008941897405288838, 4.0];
E-11-17 - La Higuera Granodiorite 1;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[73.62805001552485, 12.032292682086059, 1.61033402221075, 0.35689003718051865, 1.1010159615601054, 5.1465274903390155, 1.9123918973446654, 0.15295287307736513, 2.0, 0.0, 4.0];
E-11-18 - La Higuera Amph gabbronorite 3;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[64.00832282100234, 13.703908246418898, 5.614457936254684, 2.0858426295841355, 6.240672062151824, 0.7384116398574434, 2.4555348866932634, 0.8142958400008959, 2.0, 0.0018342651895399728, 4.0];
E-11-21 - La Higuera Amph gabbronorite 4;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[44.67964002171315, 17.417025171524266, 11.25015710565451, 10.190895382668364, 10.935103293936288, 0.10991421000682684, 0.5972329641078912, 0.5203902863155078, 2.0, 0.008814196830919743, 4.0];
E-11-22 - La Higuera Amph gabbronorite 5;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[41.17989782431195, 23.396522706109394, 12.986103285814165, 11.03809078036707, 6.747665026425318, 0.04753616173650786, 0.43267608437719396, 0.03007389824146416, 2.0, 0.006848426806731402, 4.0];
E-11-23 - La Higuera Ol gabbronorite 1;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[40.53223817035641, 14.249805413864447, 7.790348632006633, 20.979340615129747, 11.361243592375518, 0.05557570363258798, 0.6834836534463891, 0.05655071597701936, 2.0, 0.02225905894350619, 4.0];
E-11-25 - La Higuera Ol gabbronorite 2;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[39.03660573717069, 12.608627372069673, 6.5520942023632704, 23.977380474197837, 13.079029645618023, 0.0165187010885623, 0.4469766176905092, 0.02429220748317985, 2.0, 0.008847705847309916, 4.0];
E-11-26 - La Higuera Granodiorite 2;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[70.5755020515411, 13.99348518157987, 1.5806112795774163, 0.7211841067674326, 1.338726710208455, 3.8495376851848744, 3.5382491029072423, 0.2184820484308844, 2.0, 0.0, 4.0];
E-11-05 - La Higuera Peridotite 1;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[43.110803473556416, 8.096085913813685, 7.1522745722033365, 22.341097838118777, 14.651390930666459, 0.05172906008826104, 0.13176270022481584, 0.11126628018984451, 2.0, 0.049157484011847066, 4.0];
E-11-06 - La Higuera Amph gabbro 1;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[40.40472001875211, 16.660152052027584, 12.35749778804614, 7.696697844166583, 15.716550829671542, 0.17269490318374792, 1.0126201141228857, 1.5846719809190504, 2.0, 0.008246133335912273, 4.0];
E-11-07 - La Higuera Qz norite 1;Emanuel Giovanini, 2026;ig;wt;[SiO2, Al2O3, CaO, MgO, FeO, K2O, Na2O, TiO2, O, Cr2O3, H2O];[57.41718879187181, 16.54629698743675, 7.722185730791096, 2.503760545137479, 7.576932017013904, 0.18575039592982848, 2.5569702939715437, 1.017757377698851, 2.0, 0.0, 4.0];
