CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,Unnamed: 171
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,"STRATOCONE LAVA, SARGENTS RIDGE",41.4216,41.4216,-122.346,-122.346,SAE,,,s_97-3 [4684],ANDESITE [4684],,,,,,,,,VOL,,,,,WR [4684] ,59.27,0.79,,15.9,,4.85,,,6.7,4.84,0.08,,1.79,3.69,0.41,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51285,,,0.70357,,,,,,,,,,,,,,,,,,,,,100003.0,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,HOTLUM,41.4065,41.4065,-122.1368,-122.1368,SAE,,,s_83-44 [4684],ANDESITE [4684],,,,,,,,,VOL,,,,,WR [4684] ,62.26,0.61,,16.93,,1.92,2.64,,5.99,3.49,0.08,,1.23,4.6,0.16,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,68.0,,,,40.0,,73.0,,,,,,26.0,714.0,11.0,110.0,,,,,,,,,,,,,,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512881,,,0.703245,,,,,,,,,,,,,,,,,,,,,100006.0,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,HOTLUM,41.419,41.419,-122.162,-122.162,SAE,,,s_83-46 [4684],ANDESITE [4684],,,,,,,,,VOL,,,,,WR [4684] ,62.88,0.63,,17.25,,1.56,2.98,,5.61,2.84,0.09,,1.26,4.77,0.16,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,33.0,,,,23.0,,73.0,,,,,,29.0,557.0,12.0,105.0,,,,,,,,,,,,,,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51283,,,0.703681,,,,,,,,,,,,,,,,,,,,,100007.0,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,HOTLUM,41.4105,41.4105,-122.1918,-122.1918,SAE,,,s_83-54 [4684],DACITE [4684],,,,,,,,,VOL,,,,,WR [4684] ,63.8,0.59,,16.14,,2.68,1.69,,5.31,3.11,0.08,,1.57,4.59,0.13,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,116.0,67.0,,,30.0,18.0,19.0,58.0,,,,,,49.0,626.0,13.0,113.0,5.0,,,,,,,,,,,,3.6,398.0,12.0,24.8,3.16,11.8,2.47,0.84,2.39,0.36,2.11,0.42,1.17,0.18,1.22,0.19,3.11,,,,,,,,,,2.8,,3.76,1.71,0.512865,,,0.703327,,18.922,,15.588,,38.527,,,,,,,,,,,,,,,100008.0,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,HOTLUM,41.4106,41.4106,-122.1935,-122.1935,SAE,,,s_83-55 [4684],ANDESITE [4684],,,,,,,,,VOL,,,,,WR [4684] ,62.44,0.63,,16.36,,2.11,2.58,,5.89,3.52,0.08,,1.41,4.32,0.14,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,63.0,,,,18.0,,72.0,,,,,,36.0,668.0,11.0,115.0,,,,,,,,,,,,,,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512873,,,0.703281,,,,,,,,,,,,,,,,,,,,,100009.0,
[4684],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,HOTLUM,41.4238,41.4238,-122.1736,-122.1736,SAE,,,s_97-5 [4684],ANDESITE [4684],,,,,,,,,VOL,,,,,WR [4684] ,61.85,0.64,,16.94,,4.58,,,6.02,3.46,0.07,,1.24,4.14,0.23,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512878,,,0.703127,,,,,,,,,,,,,,,,,,,,,100010.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO,BASE OF SHIELD VOLCANO,41.883,41.883,-121.883,-121.883,SAE,,2412.0,s_79.37I [4703],"ANDESITE, OLIVINE [4703]",,,,,,,,,VOL,,,,,WR [4703] ,54.93,1.1,,17.17,,,,7.81,8.11,4.53,0.14,,0.9,3.81,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101943.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO,,41.58,41.58,-121.6,-121.6,SAE,,,s_79.26 [4703],DACITE [4703],,,,,,,,SUBOPHITIC [4703] ,VOL,,,,,WR [4703] ,66.13,0.65,,15.25,,,,4.0,3.77,2.03,0.07,,3.33,3.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101944.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO,BASE OF SHIELD VOLCANO,41.883,41.883,-121.883,-121.883,SAE,,2412.0,s_79.8A [4703],ANDESITE [4703],,,,,,,,,VOL,,,,,WR [4703] ,64.4,1.02,,15.55,,,,5.03,3.78,1.38,0.12,,2.33,5.01,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101945.0,
[4703],CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO,BASE OF SHIELD VOLCANO,41.883,41.883,-121.883,-121.883,SAE,,2412.0,s_79.9G [4703],"ANDESITE, OLIVINE [4703]",,,,,,,,SUBOPHITIC [4703] ,VOL,,,,,WR [4703] ,57.66,1.44,,16.45,,,,7.64,6.1,2.75,0.14,,1.34,4.8,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101946.0,
