CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,Unnamed: 171
[3830],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / SIERRA MADRE OCCIDENTAL / DURANGO,DURANGO CITY AREA,24.25,24.75,-104.5,-105.0,SAE,,,s_7 [3830],ANDESITE [3830],,,,,,,,,VOL,,,,,WR [3830] ,59.1,0.88,,16.5,,2.0,4.27,,6.23,2.74,0.11,,0.95,3.66,0.25,,1.76,0.44,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100533.0,
[3830],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / SIERRA MADRE OCCIDENTAL / DURANGO / CALERAS FORMATION,DURANGO CITY AREA,24.25,24.75,-104.5,-105.0,SAE,,,s_14 [3830],BASALT [3830],,,,,,,,,VOL,,,,,WR [3830] ,54.2,1.5,,16.22,,3.68,5.75,,7.91,5.17,0.15,,1.52,2.89,0.53,,0.7,0.14,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100540.0,
[3830],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / SIERRA MADRE OCCIDENTAL / DURANGO / GUADALUPE FORMATION,DURANGO CITY AREA,24.25,24.75,-104.5,-105.0,SAE,,,s_15 [3830],BASALT [3830],,,,,,,,,VOL,,,,,WR [3830] ,52.4,1.11,,17.25,,4.5,4.95,,8.76,4.87,0.18,,0.92,2.8,0.29,,1.0,0.31,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100541.0,
[3830],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / SIERRA MADRE OCCIDENTAL / DURANGO,DURANGO CITY AREA,24.25,24.75,-104.5,-105.0,SAE,,,s_22 [3830],BASALT [3830],,,,,,,,,VOL,,,,,WR [3830] ,51.6,1.81,,14.82,,2.02,8.65,,8.7,6.89,0.15,,0.67,2.94,0.31,,0.38,0.1,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100546.0,
[19943],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD - JUMENTO,VOLCAN JUMENTO,19.191,19.211,-99.306,-99.313,SAE,,,s_JU 1401 [19943],BASALTIC-ANDESITE [19943],,,,,,,,,VOL,,,,,WR [19943] ,53.81,1.04,,15.85,,,,6.68,7.71,7.18,0.12,,1.48,3.95,0.38,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,12.39,1.37,5.32,,,,,,,,,,,,16.68,,132.15,137.28,,,25.87,37.09,33.18,69.79,17.52,,,,,21.49,716.68,21.55,144.42,6.74,1.04,,,,,,,1.23,0.1,,,0.73,675.92,29.55,65.67,9.23,38.38,7.99,2.07,6.46,0.84,4.23,0.77,2.01,,1.73,0.25,3.51,0.43,1.93,,,,,,,0.12,8.58,,3.73,1.17,,,,,,,,,,,,,,,,,,,,,,,,,1013593.0,
[19943],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD - JUMENTO,VOLCAN JUMENTO,19.191,19.211,-99.306,-99.313,SAE,,,s_JU1402 [19943],BASALTIC-ANDESITE [19943],,,,,,,,,VOL,,,,,WR [19943] ,55.02,0.97,,16.16,,,,6.68,7.39,6.97,0.11,,1.35,4.0,0.31,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,12.13,1.32,6.12,,,,,,,,,,,,16.49,,128.7,127.05,,,24.9,35.46,31.1,66.9,17.65,,,,,20.56,607.94,19.79,134.23,5.49,1.01,,,,,,,0.85,0.09,,,0.7,469.05,22.22,48.33,6.82,28.82,6.17,1.67,5.24,0.71,3.78,0.71,1.88,,1.66,0.25,3.36,0.35,1.88,,,,,,,0.13,6.42,,2.87,0.94,,,,,,,,,,,,,,,,,,,,,,,,,1013594.0,
[19943],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD - JUMENTO,VOLCAN JUMENTO,19.191,19.211,-99.306,-99.313,SAE,,,s_JU1403 [19943],BASALTIC-ANDESITE [19943],,,,,,,,,VOL,,,,,WR [19943] ,54.44,1.07,,16.14,,,,6.81,7.44,7.1,0.12,,1.36,3.95,0.33,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,12.46,1.41,6.45,,,,,,,,,,,,17.82,,134.54,157.92,,,27.02,36.26,36.62,70.32,18.04,,,,,20.96,646.45,21.33,146.92,7.51,1.24,,,,,,,0.98,0.11,,,0.74,557.07,24.43,53.62,7.47,31.37,6.7,1.8,5.66,0.77,4.08,0.76,2.02,,1.81,0.26,3.54,0.47,4.7,,,,,,,0.82,8.67,,3.19,1.04,,,,,,,,,,,,,,,,,,,,,,,,,1013595.0,
[19943],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD - JUMENTO,VOLCAN JUMENTO,19.191,19.211,-99.306,-99.313,SAE,,,s_JU1404 [19943],BASALTIC-ANDESITE [19943],,,,,,,,,VOL,,,,,WR [19943] ,55.23,1.07,,16.05,,,,6.73,7.42,7.13,0.12,,1.4,3.97,0.33,,,,,,,,,,,,,,,,-0.21,,,,,,,,,,,,,,12.74,1.41,5.9,,,,,,,,,,,,17.74,,135.65,142.45,,,26.82,36.7,32.84,70.47,18.02,,,,,20.99,642.92,21.4,147.46,7.47,1.06,,,,,,,0.94,0.1,,,0.73,561.52,24.44,53.45,7.5,31.3,6.69,1.8,5.68,0.77,4.08,0.76,2.02,,1.79,0.26,3.54,0.47,2.18,,,,,,,0.13,7.34,,3.15,1.04,,,,,,,,,,,,,,,,,,,,,,,,,1013596.0,
[19943],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD - JUMENTO,VOLCAN JUMENTO,19.191,19.211,-99.306,-99.313,SAE,,,s_JU1407 [19943],BASALTIC-ANDESITE [19943],,,,,,,,,VOL,,,,,WR [19943] ,54.84,1.1,,15.92,,,,6.82,7.63,7.33,0.12,,1.39,3.94,0.36,,,,,,,,,,,,,,,,-0.18,,,,,,,,,,,,,,11.72,1.38,5.78,,,,,,,,,,,,17.5,,135.3,142.11,,,26.94,37.9,33.73,75.53,17.7,,,,,20.38,688.11,21.77,148.83,7.17,1.06,,,,,,,0.92,0.1,,,0.67,622.13,27.08,59.77,8.4,35.09,7.42,1.95,6.11,0.82,4.23,0.78,2.05,,1.79,0.26,3.6,0.44,2.03,,,,,,,0.14,7.82,,3.41,1.08,,,,,,,,,,,,,,,,,,,,,,,,,1013597.0,
[19943],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD - JUMENTO,VOLCAN JUMENTO,19.1911,19.1911,-99.3236,-99.3236,SAE,3503.0,3503.0,s_SM-1304 [19943],BASALTIC-ANDESITE [19943],,,,,,,,,VOL,,,,,WR [19943] ,55.74,1.24,,17.43,,,,6.43,6.33,5.48,0.12,,1.74,4.36,0.35,,,,,,,,,,,,,,,,-0.17,,,,,,,,,,,,,,17.72,1.94,,,,,,,,,,,,,14.86,,113.85,213.16,,,26.43,126.09,30.07,76.16,19.03,,,,,31.52,720.35,24.52,210.39,15.69,2.5,,,,,,,1.2,0.11,,,1.19,592.75,29.29,64.15,8.66,35.37,7.36,2.03,6.1,0.85,4.62,0.87,2.35,,2.14,0.32,4.62,0.96,3.14,,,,,,,0.15,7.56,,4.11,1.46,,,,,,,,,,,,,,,,,,,,,,,,,1013598.0,
