FAMOS UID,,District Name,Deposit/Region,Sample Classification,Lithology,Rock Type,,Elemental composition,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,LOI,Total,,Trace elements,As,Ba,Co,Cr,Cs,Cu,Ga,Mo,Nb,Ni,Pb,Rb,Sb,Sc,Se,Sn,Sr,Th,U,V,W,Y,Zn,Zr,,Trace elements,La139_ppm,Ce140_ppm,Pr141_ppm,Nd144_ppm,Sm149_ppm,Eu153_ppm,Gd158_ppm,Tb159_ppm,Dy163_ppm,Ho165_ppm,Er166_ppm,Tm169_ppm,Yb172_ppm,Lu175_ppm,Hf180_ppm,Ta181_ppm,,RSD,La139_ppm,Ce140_ppm,Pr141_ppm,Nd144_ppm,Sm149_ppm,Eu153_ppm,Gd158_ppm,Tb159_ppm,Dy163_ppm,Ho165_ppm,Er166_ppm,Tm169_ppm,Yb172_ppm,Lu175_ppm,Hf180_ppm,Ta181_ppm
SLLBMI08,,Rio Blanco-Los Bronces,Los Bronces Mine,Post ore,La Copa Diatreme,Rhyolite,,,70.9,0.18,16,1.29,0.04,0.29,1.75,4.7,2.8,0.07,0.01,1.42,99.5,,,14,768,<1.1,<0.6,5.4,23,21,1.05,4,<0.6,20,86,5.7,2,<0.5,<0.8,677,1.4,0.84,24,<0.9,4,57,97,,,9,18,2.1,7,1.4,0.45,1.1,0.12,0.7,0.12,0.35,0.07,0.37,0.05,2.9,0.23,,,0.74,0.73,0.55,3.1,7.1,8.3,3.2,2.8,7.5,5.9,6,5.6,4.7,3.7,2.2,5.3
SLLBMI07,,Rio Blanco-Los Bronces,Los Bronces Mine,Porphyry (deposit),Porphyry,Dacite,,,56.5,0.76,18.9,6.95,0.11,2.89,6.7,5.1,1.16,0.28,0.01,0.32,99.7,,,9.8,409,22,11,<1.9,106,24,1.69,5.6,6.6,5.6,30,<1.0,11,<0.7,<0.9,895,0.99,<0.5,151,<1.1,10,76,78,,,15,31,4,15,3.5,1.05,2.8,0.36,2,0.35,0.9,0.13,0.82,0.12,2.5,0.23,,,3,2.9,1.25,1.92,3.6,1.33,0.97,4.8,6.6,6.9,10.7,7.6,4.6,13.5,2.8,3.6
SLLB1201,,Rio Blanco-Los Bronces,La Augustina,Porphyry (deposit),Porphyry,Dacite,,,64.6,0.33,16.9,3.53,0.03,0.9,1.03,4.9,5,0.15,0.26,1.73,99.4,,,3.5,1098,11,<0.7,<1.8,127,20,3.8,3.9,3,4.3,157,<0.9,2.9,<0.6,<0.8,373,3.3,1.62,58,<1.0,4,35,115,,,14,29,3.4,12,2.3,0.67,1.3,0.15,0.73,0.12,0.32,0.07,0.29,0.05,3.2,0.17,,,1.75,1.35,0.93,3,3.8,3.9,4.9,4.2,3.4,3.3,0.48,13.7,1.2,3.6,2.5,3.2
SLLLBPS01,,Rio Blanco-Los Bronces,Los Sulfatos,Porphyry (deposit),Porphyry,Dacite,,,60.6,0.5,16.4,1.14,0.01,0.97,4.4,6.1,2.7,0.13,2.7,1.12,96.6,,,2.7,568,1.13,1.85,<1.8,18510,19,2.6,5,0.78,16,52,<0.9,4.7,4.8,<0.9,735,2.5,<0.4,87,<1.1,5.3,36,92,,,19,39,4.4,16,3.1,0.71,2.2,0.29,1.62,0.32,0.88,0.14,0.85,0.14,4.8,0.32,,,1.51,1.93,3.7,2.2,2.4,2.7,1.82,6.4,1.89,5.4,6,12.4,3.5,7,1.62,5.2
SLLB0802,,Rio Blanco-Los Bronces,San Manuel,Porphyry (SM),Late Porphyry,Quartz Monzonite,,,65.9,0.45,17.6,2.41,0.02,1.03,2.6,5.8,2.1,0.15,0.01,0.65,98.7,,,54,683,5.6,1.15,<1.8,402,20,40,4.7,3.6,5.3,66,<0.9,6,<0.5,<0.8,758,4.1,1.26,79,1.5,5.6,23,112,,,17,35,4.1,15,2.7,0.77,1.7,0.22,1.14,0.2,0.52,0.09,0.47,0.07,3.4,0.26,,,2.2,2.4,1.98,2.5,1.82,3.7,2.3,3.4,10,2.7,7.2,3.7,9.3,16.4,1.41,5.4
SLLBMI10,,Rio Blanco-Los Bronces,Los Bronces Mine,Porphyry (deposit),Porphyry,Quartz Monzonite,,,63.6,0.49,17.2,3.26,0.08,1.24,1.87,5.6,3.5,0.17,0.49,1.45,98.9,,,2.8,620,3.4,13,<1.7,1062,21,1.91,4.9,2.7,34,112,<0.9,4,<0.6,<0.8,457,3.9,1.52,78,5.2,5.6,146,112,,,20,39,4.5,15,2.9,0.77,2.1,0.2,0.99,0.16,0.45,0.07,0.37,0.06,2.9,0.28,,,1.66,2.4,2.2,1.19,4.8,2.5,1.89,7,2.1,5.9,6.1,5.9,4.9,7.4,1.36,1.56
SLLBMI09,,Rio Blanco-Los Bronces,Los Bronces Mine,Porphyry (deposit),Porphyry,Granodiorite,,,64.6,0.45,16.7,1.77,0.01,1.11,2.4,5.2,4.1,0.18,0.52,1.29,98.4,,,4.7,718,3.9,<0.6,<1.8,1366,20,25,4.9,4.1,48,117,<0.9,3.6,<0.6,<0.8,691,4.8,4.38,72,6,6,28,107,,,17,33,3.6,12,2.2,0.66,1.7,0.2,0.9,0.19,0.55,0.1,0.57,0.1,3,0.33,,,1.61,1.08,3.6,3.3,0.88,3,3.5,4.7,6,4.3,5.1,2.7,2.5,6.3,3.3,5.6
SLLB 0409,,Rio Blanco-Los Bronces,Plomo,Intrusive Complex,San Francisco Batholith,Quartz Monzonite,,,57.7,0.87,18.3,5.95,0.09,3.09,5.9,5.5,1.2,0.27,0.06,0.45,99.3,,,10,355,18,21,3.3,220,23,3.1,6.4,17,8,57,<1.0,12,<0.6,<0.9,696,2.9,1.36,145,<1.1,11,63,122,,,17,36,4.7,18,4.1,1.21,3.2,0.44,2.3,0.44,1.14,0.17,1.06,0.16,3.8,0.34,,,0.73,1.05,0.81,2.9,0.73,1.95,1.93,2.9,5,0.53,5.6,5.1,3.8,7.7,1.39,3.1
SLLLBPS04,,Rio Blanco-Los Bronces,Los Sulfatos,Intrusive Complex (deposit host),San Francisco Batholith,Monzonite,,,62.5,0.63,16.9,4.93,0.02,1.96,3,4.9,2.4,0.2,0.17,1.26,98.8,,,3.6,506,13,5.8,3.3,1250,21,3.2,7.5,9.7,5.2,111,<1.0,9.6,<0.6,<0.9,577,4.5,1.86,112,9,11,23,140,,,18,38,4.6,17,3.4,0.89,2.6,0.34,2,0.38,1.02,0.17,1.01,0.16,4.1,0.43,,,1.13,0.63,1.75,0.63,2.2,3.8,5.5,3.1,6.5,6.4,4.1,1.02,8.6,5.1,2.5,2.1
RIE01,,Rio Blanco-Los Bronces,Riecillo,Intrusive Complex,San Francisco Batholith,Monzonite,,,57.4,0.84,17.5,8.22,0.15,3.17,2.4,4.7,3,0.17,<0.001,1.83,99.3,,,14,724,8.2,30,<1.7,92,21,1.14,5.6,16,11,97,1.72,15,<0.7,<0.9,343,7.6,3.6,148,2,15,90,132,,,8.3,17,2.3,10,2.7,0.83,2.6,0.39,3,0.52,1.7,0.37,1.67,0.24,4.9,0.37,,,4.1,3.1,8.2,7.6,18,16,11,14,9.6,12,12,12,12,23,6.7,9
