Run,T (°C),P (GPa),Phasea,# Analyses,  SiO2,𝛔,  TiO2,𝛔,  Al2O3,𝛔,  FeO,𝛔,  MnO,𝛔,  MgO,𝛔,  CaO,𝛔,  Na2O,𝛔,  K2O,𝛔,  P2O5,𝛔,Totalb,Endmembersc,
FM43,1140,1.0,Melt,22,48.15,0.20,0.89,0.02,18.96,0.14,9.59,0.10,0.26,0.03,8.20,0.07,10.94,0.10,1.82,0.09,1.01,0.02,0.16,0.03,93.32,,
FM40,1110,0.8,Melt,22,48.30,0.15,0.89,0.03,19.08,0.12,9.50,0.10,0.27,0.03,7.89,0.07,11.01,0.09,1.87,0.10,1.03,0.03,0.17,0.04,93.54,,
FM85,1095,0.8,Melt,12,48.76,0.17,0.92,0.02,19.37,0.15,8.90,0.12,0.27,0.03,7.43,0.08,11.31,0.12,1.84,0.09,1.02,0.05,0.19,0.05,93.69,,
FM81,1080,0.8,Melt,15,48.85,0.17,0.94,0.02,19.69,0.16,8.98,0.12,0.26,0.02,7.02,0.07,11.18,0.11,1.86,0.09,1.03,0.04,0.19,0.04,93.88,,
FM98,1020,0.8,Melt,20,51.17,0.28,1.16,0.04,20.20,0.21,9.70,0.11,0.33,0.03,4.74,0.08,8.80,0.17,2.33,0.11,1.35,0.04,0.22,0.04,91.85,,
FM106,990,0.6,Melt,19,51.90,0.22,1.30,0.03,19.86,0.16,10.11,0.10,0.35,0.02,4.24,0.07,7.99,0.11,2.66,0.09,1.33,0.04,0.25,0.06,91.90,,
FM116,960,0.6,Melt,21,52.92,0.22,1.35,0.03,19.77,0.18,10.05,0.17,0.37,0.03,3.40,0.06,7.26,0.09,2.94,0.09,1.63,0.04,0.32,0.05,91.60,,
FM121,930,0.6,Melt,14,60.81,0.21,0.86,0.04,19.51,0.16,4.40,0.09,0.34,0.03,2.32,0.06,5.55,0.11,3.63,0.08,2.23,0.07,0.35,0.06,89.94,,
FM131,900,0.4,Melt,23,61.60,0.27,0.83,0.03,19.50,0.10,4.08,0.07,0.34,0.03,1.81,0.06,4.97,0.05,4.04,0.13,2.39,0.05,0.44,0.02,90.12,,
FM145,870,0.4,Melt,25,64.57,0.33,0.50,0.05,18.85,0.16,3.55,0.10,0.32,0.04,1.29,0.07,4.01,0.10,3.89,0.18,2.58,0.07,0.44,0.03,91.29,,
