Run,T (°C),P (GPa),Phasea,# Analyses,  SiO2,𝛔,  TiO2,𝛔,  Al2O3,𝛔,  FeO,𝛔,  MnO,𝛔,  MgO,𝛔,  CaO,𝛔,  Na2O,𝛔,  K2O,𝛔,  P2O5,𝛔,Totalb,Endmembersc,
FM43,1140,1.0,Melt,22,48.15,0.20,0.89,0.02,18.96,0.14,9.59,0.10,0.26,0.03,8.20,0.07,10.94,0.10,1.82,0.09,1.01,0.02,0.16,0.03,93.32,,
FM40,1110,0.8,Melt,22,48.30,0.15,0.89,0.03,19.08,0.12,9.50,0.10,0.27,0.03,7.89,0.07,11.01,0.09,1.87,0.10,1.03,0.03,0.17,0.04,93.54,,
FM85,1095,0.8,Melt,12,48.76,0.17,0.92,0.02,19.37,0.15,8.90,0.12,0.27,0.03,7.43,0.08,11.31,0.12,1.84,0.09,1.02,0.05,0.19,0.05,93.69,,
FM81,1080,0.8,Melt,15,48.85,0.17,0.94,0.02,19.69,0.16,8.98,0.12,0.26,0.02,7.02,0.07,11.18,0.11,1.86,0.09,1.03,0.04,0.19,0.04,93.88,,
FM91,1050,0.8,Melt,16,49.31,0.20,1.03,0.03,20.37,0.15,8.96,0.10,0.29,0.03,6.19,0.09,10.47,0.12,2.07,0.07,1.12,0.03,0.20,0.04,93.45,,
FM112,1020,0.6,Melt,17,49.98,0.24,1.22,0.04,19.96,0.10,9.83,0.19,0.33,0.03,5.14,0.10,9.80,0.15,2.25,0.07,1.28,0.05,0.21,0.06,92.20,,
FM119,990,0.6,Melt,18,50.17,0.25,1.36,0.04,19.82,0.24,10.45,0.15,0.37,0.03,4.27,0.08,9.13,0.12,2.74,0.07,1.47,0.06,0.23,0.04,91.64,,
FM128,960,0.4,Melt,11,53.26,0.38,1.18,0.04,19.59,0.17,10.38,0.15,0.46,0.03,2.90,0.10,7.60,0.10,2.62,0.12,1.70,0.06,0.31,0.06,91.05,,
FM160,930,0.4,Melt,21,56.55,0.21,0.70,0.05,19.04,0.14,9.18,0.14,0.50,0.02,2.14,0.05,6.45,0.08,3.04,0.11,2.03,0.07,0.37,0.03,91.29,,
FM164,900,0.2,Melt,19,66.80,0.34,0.36,0.07,16.85,0.36,3.24,0.23,0.37,0.05,1.31,0.08,3.43,0.18,4.01,0.14,3.31,0.09,0.32,0.07,94.00,,
