Run#,T(°C),Phase,#,SiO2,Si Std,TiO2,Ti Std,Cr2O3,Cr Std,Al2O3,Al Std,FeO,Fe Std,MnO,Mn Std,NiO,Ni Std,MgO,Mg Std,CaO,Ca Std,Na2O,Na Std,K2O,K Std,P2O5,P Std,Total,xMg,
rk47,1230,glass,16,43.86,-43,0.79,-3,0.08,-3,12.11,-44,9.32,-18,0.16,-5,0.02,-2,12.24,-70,10.92,-33,1.27,-9,0.44,-3,,,91.22,0.701,
,,ol,10,40.72,-31,0.01,-1,0.05,-3,0.04,-1,8.82,-16,0.17,-3,0.21,-2,50.53,-19,0.21,-2,0.01,-1,0,,,,100.77,0.911,
,,sp,8,0,,0.3,-6,42.13,-585,13.85,-275,24.83,-164,0,,0.13,-3,14.08,-39,0.21,-9,0.03,-3,0,,,,95.56,0.501,
rk51,1200,glass,10,43.66,-41,0.89,-4,n.d.,,14.02,-28,9,-22,0.2,-6,n.d.,,10.36,-12,12.35,-13,1.27,-10,0.53,-2,,,92.27,0.672,
,,ol,10,40.84,-15,0.01,-1,n.d.,,0.03,-1,10.33,-19,0.19,-3,n.d.,,48.74,-26,0.24,-2,0.01,-1,0,,,,100.39,0.894,
,,cpx,9,52.08,-55,0.23,-3,n.d.,,3.78,-52,4.3,-14,0.11,-3,n.d.,,17.39,-45,21.68,-42,0.21,-2,0,,,,99.79,0.878,
rk52,1170,glass,10,44.61,-56,0.71,-2,n.d.,,16.53,-32,9.07,-24,0.21,-4,n.d.,,8.92,-27,11.33,-24,1.53,-14,0.74,-4,,,93.65,0.637,
,,ol,10,40.66,-19,0.01,-1,n.d.,,0.05,-1,12.23,-27,0.25,-4,n.d.,,46.77,-40,0.24,-2,0,,0,,,,100.21,0.872,
,,cpx,10,49.35,-80,0.34,-6,n.d.,,7.49,-76,5.68,-69,0.16,-2,n.d.,,15.57,-47,21.24,-59,0.32,-3,0.01,-1,,,100.17,0.83,
,,sp,2,0.11,-1,0.12,-1,n.d.,,59.39,-5,18.96,-23,0.18,-6,n.d.,,19.93,-20,0.06,-1,0.01,-1,0,,,,98.74,0.652,
rk54,1140,glass,9,44.67,-34,0.8,-6,n.d.,,17.21,-27,9.53,-22,0.23,-6,n.d.,,7.5,-14,10.38,-12,1.73,-12,0.91,-3,,,92.97,0.584,
,,cpx,10,48.73,-51,0.42,-4,n.d.,,7.89,-48,6.39,-29,0.2,-2,n.d.,,14.85,-24,21.49,-16,0.32,-4,0.01,-1,,,100.31,0.805,
,,sp,9,0.1,-3,0.18,-3,n.d.,,57.74,-100,21.73,-49,0.16,-3,n.d.,,18.47,-32,0.14,-4,0.01,-1,0,,,,98.53,0.602,
rk57,1110,glass,9,47,-35,0.86,-5,n.d.,,18.07,-25,8.47,-26,0.22,-5,n.d.,,5.66,-31,8.74,-20,2.16,-12,1.07,-7,,,92.26,0.544,
,,cpx,10,48.87,-43,0.6,-5,n.d.,,7.95,-51,7.03,-31,0.26,-3,n.d.,,14.63,-24,20.15,-36,0.41,-4,0.01,-1,,,99.9,0.788,
,,opx,10,51.69,-38,0.18,-3,n.d.,,6.86,-65,12.28,-19,0.35,-3,n.d.,,27.3,-49,1.48,-22,0.05,-3,0.02,-3,,,100.21,0.798,
,,sp,10,0.1,-7,0.17,-6,n.d.,,60.28,-58,20.73,-51,0.2,-2,n.d.,,17.1,-19,0.12,-3,0.01,-2,0,,,,98.71,0.595,
rk58,1080,glass,10,48.43,-44,0.91,-4,n.d.,,17.18,-29,8.4,-28,0.3,-6,n.d.,,4.35,-27,7.8,-34,2.42,-9,1.34,-4,,,91.13,0.48,
,,cpx,8,45.65,-60,0.96,-13,n.d.,,10.28,-72,9,-32,0.36,-5,n.d.,,12.22,-31,20.06,-25,0.55,-3,0.01,-1,,,99.09,0.708,
,,opx,7,48.63,-44,0.25,-3,n.d.,,8.61,-47,13.72,-47,0.48,-2,n.d.,,25.34,-32,1.11,-13,0.05,-2,0,,,,98.2,0.767,
,,mag,5,0.13,-2,3.1,-6,n.d.,,12.23,-8,73.29,-53,0.36,-6,n.d.,,4.97,-9,0.04,-5,0,,0,,,,94.11,0.108,
rk73,1050,glass,10,49.86,-51,0.86,-4,n.d.,,17.85,-17,8.7,-17,0.3,-6,n.d.,,3.78,-9,7.9,-15,2.29,-9,1.18,-4,,,92.71,0.437,
,,cpx,1,47.41,,0.84,,n.d.,,8.07,,8.34,,0.34,,n.d.,,13.73,,20.74,,0.44,,0.08,,,,99.99,0.746,
,,amp,9,41.26,-49,1.92,-10,n.d.,,15.73,-36,10.45,-111,0.28,-4,n.d.,,14.27,-56,11.34,-18,2.2,-8,0.84,-4,,,98.29,0.709,
rk65,1020,glass,10,52.17,-27,0.87,-4,n.d.,,17.18,-39,7.07,-18,0.28,-7,n.d.,,2.7,-5,6.78,-9,2.41,-11,1.35,-3,,,90.81,0.405,
,,cpx,10,47.5,-99,0.75,-13,n.d.,,6.94,-84,10.88,-60,0.49,-4,n.d.,,12.31,-56,20.04,-40,0.51,-3,0.01,-1,,,99.42,0.669,
,,amp,4,41.01,-44,2.17,-10,n.d.,,14.36,-26,14.08,-20,0.38,-2,n.d.,,12.05,-12,10.91,-26,2.19,-7,0.7,-5,,,97.84,0.604,
,,mag,5,0.12,-2,5.96,-11,n.d.,,7.98,-14,76.44,-101,0.54,-4,n.d.,,3.03,-4,0.04,-4,0,,0,,,,94.11,0.066,
rk67,990,glass,10,54.74,-111,0.59,-8,n.d.,,15.94,-18,5.59,-38,0.31,-5,n.d.,,1.48,-12,5.68,-7,2.71,-16,1.33,-7,,,88.36,0.321,
,,cpx,4,46.31,-103,0.77,-5,n.d.,,7.25,-51,13.02,-7,0.65,-4,n.d.,,10.3,-42,19.48,-97,0.75,-14,0.02,-2,,,98.54,0.585,
,,amp,12,40.46,-59,1.96,-21,n.d.,,13.41,-31,16.9,-60,0.48,-3,n.d.,,10.28,-34,10.75,-23,2.19,-9,0.67,-4,,,97.09,0.52,
,,mag,4,0.15,-1,6.1,-28,n.d.,,5.66,-4,79.74,-110,0.7,-6,n.d.,,1.49,-5,0.17,-6,0.01,-1,0.01,-1,,,94.02,0.032,
PU1048,990,glass,13,52.64,-30,0.86,-4,n.d.,,16.47,-10,5.58,-8,0.29,-3,n.d.,,2.69,-9,6.6,-11,2.61,-9,1.32,-4,0.22,-7,89.28,0.462,
,,cpx,4,50.08,-84,0.83,-16,n.d.,,5.05,-75,8.18,-22,0.59,-3,n.d.,,14.63,-31,19.48,-44,0.32,-3,0.01,-1,0.01,-1,99.17,0.761,
