T_K,P_bar,T_C,P_GPa,nno_log10fo2,rro_log10fo2,dnno9
1458.15,9000,1185,0.9,-7.6117882171495,-5.87000492807795,1.2417832890715497
1428.15,9000,1155,0.9,-7.95575614438601,-6.18675550752572,1.3690006368602896
1408.15,9000,1135,0.9,-8.19333508499723,-6.40561052310951,1.4877245618877204
1388.15,9000,1115,0.9,-8.43786285795939,-6.63092860368163,1.50693425427776
1368.15,9000,1095,0.9,-8.68964576223761,-6.86299547655672,1.6266502856808902
1348.15,9000,1075,0.9,-8.94900831725986,-7.10211389224421,1.84689442501565
1328.15,9000,1055,0.9,-9.21629463685729,-7.34860490924168,1.86768972761561
1308.15,9000,1035,0.9,-9.49186992936414,-7.60280929687351,2.48906063249063
1288.15,9000,1015,0.9,-9.77612213759686,-7.86508906901894,2.8110330685779195
1268.15,9000,995,0.9,-10.0694637341663,-8.13582916319542,3.133634570970881
1248.15,9000,975,0.9,-10.3723336895567,-8.41543928131941,3.056894408237291
